# CLUSTER  dG
2am1b2sa             -2210.8722984472183
2am1b2sa1w           -2287.2037114485374
2am1b2sa2w           -2363.5507311642227
2am1b2sa3w           -2439.889271060079
2am1b2sa4w           -2516.2244833464856
2am1b2sa5w           -2592.57063977346
2am1b3sa             -2910.3542783517496
2am1b3sa1w           -2986.689683840333
2am1b3sa2w           -3063.0264158895975
2am1b4sa             -3609.8257061709924
2am1dma1p            -248.17988381479802
2am1dma1p1sa         -947.654127213727
2am1dma1p2sa         -1647.1396297425322
2am1dma1p3sa         -2346.6045880835873
2am1dma1sa           -947.2600732176641
2am1dma2sa           -1646.748196579119
2am1dma3sa           -2346.240101415379
2am1dma4sa           -3045.7073164744734
2am1fa               -302.43080619284603
2am1fa1msa           -965.9808223766051
2am1fa1msa1sa        -1665.4667840336037
2am1fa1sa            -1001.9035920098371
2am1fa2msa           -1629.539764986975
2am1fa2sa            -1701.3978742475012
2am1msa              -776.461818767609
2am1msa1nta          -1057.0224864849492
2am1msa1nta1sa       -1756.4998206916562
2am1msa1sa           -1475.9447281065668
2am1nta              -393.46188579884
2am1nta1sa           -1092.940784164599
2am1nta2sa           -1792.419089002539
2am1p                -113.27872913207698
2am1p1sa             -812.7527494341931
2am1p2sa             -1512.2212991669032
2am1p3sa             -2211.68418874794
2am1sa               -812.3939308261799
2am2aq1p1sa          -965.4469901068042
2am2aq2sa            -1664.552762996272
2am2aq3sa            -2364.0188492974053
2am2dma1p1sa         -1082.5464039223668
2am2dma1p2sa         -1782.0271443165148
2am2dma1p3sa         -2481.5154912659636
2am2dma1p4sa         -3180.986032811413
2am2dma2sa           -1781.632282284734
2am2dma3sa           -2481.1277238083926
2am2dma4sa           -3180.608183555479
2am2fa               -491.93893221772305
2am2msa              -1440.0205617752968
2am2msa1nta          -1720.570037511043
2am2nta              -674.0163964245281
2am2sa               -1511.8681767889148
2am2sa1tma           -1686.013592476321
2am3aq2sa            -1740.8906328335488
2am3aq3sa            -2440.3603673848875
2am3sa               -2211.3389323183596
2am3sa1tma           -2385.512460998701
2am3sa2tma           -2559.6222091030404
2am4aq2sa            -1817.2279343293833
2am4aq3sa            -2516.695665939418
2am4sa               -2910.8014489111915
2am4sa1tma           -3084.997888733571
2am4sa2tma           -3259.1271458120036
2am5aq2sa            -1893.567523584978
2am5aq3sa            -2593.0339018854975
2am5sa               -3610.2578898705656
2aq1dma1p            -287.920838450761
2aq1dma1p1sa         -987.3799920749918
2aq2dma1p1sa         -1122.291758192119
2ca                  -1302.28516613918
2ca1sa               -2001.7413401531583
2ca2sa               -2701.207145425136
2dma                 -269.73141667821506
2dma1fa              -459.245503560833
2dma1fa1msa          -1122.8144524364309
2dma1fa1msa1sa       -1822.3046806893342
2dma1fa1sa           -1158.7359636499227
2dma1fa2msa          -1786.3703497118902
2dma1fa2sa           -1858.2219438165687
2dma1msa             -933.2898576172349
2dma1msa1nta         -1213.862765470633
2dma1msa1nta1sa      -1913.342398748007
2dma1msa1sa          -1632.7867560154332
2dma1msa2sa          -2332.2583840172388
2dma1msa3sa          -3031.7272362692215
2dma1nta             -550.287953743603
2dma1nta1sa          -1249.7870223523537
2dma1nta2sa          -1949.2608948170678
2dma1p               -270.11245686086994
2dma1p1sa            -969.6005285056411
2dma1p2sa            -1669.0728008471958
2dma1sa              -969.213911067772
2dma2fa              -648.763525462787
2dma2msa             -1596.8620826650001
2dma2msa1nta         -1877.408828894689
2dma2msa1sa          -2296.3330261795036
2dma2msa2sa          -2995.8006072217854
2dma2nta             -830.867482706563
2dma2sa              -1668.7084634552718
