#CLUSTER             ddG_298.15K_[Eh]       ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
1homF1sa             -3.2592474176199175    -18.548396708560176  -51.28005799295212
2fa                  -3.270531343354378     -14.464328519330593  -37.54417969490083
1eda1nta1tma         -3.2925779093493475    -26.208124864002457  -76.85912109556423
1am1msa              -3.333885060856119     -13.260812664637342  -33.295078328885296
1ma1nta              -3.483212631981587     -14.096178089617752  -35.59606056566426
1b1w                 -3.566670569416601     -12.748496796630207  -30.795996065859576
1dma1ma1nta          -3.6359675785934087    -25.687562510196585  -73.96141181167243
1ma1msa              -3.644634294847492     -15.287810647918377  -39.05140484016077
1fa1msa              -3.6635614480474032    -15.791062995791435  -40.67583950339497
1ma2nta              -3.6735907780821435    -26.63511245738482   -77.01332107776628
1eda2fa              -3.7884188449243084    -26.533772590424633  -76.28829027547961
1am1b2w              -3.8547021750709973    -33.34485200661584   -98.91044719584346
1dma2fa              -4.192365821392741     -26.50017951661721   -74.82077375538843
1dma1nta1tma         -4.199951350907213     -26.50442549455329   -74.80957284429515
2eda2fa              -4.250950310699409     -40.016695989412256  -119.95889880497631
1nta1tma             -4.439662853008485     -15.200748001370812  -36.09285644255486
1b1dma2w             -4.523318789084442     -36.53100599022582   -107.35430890915059
1dma1nta             -4.732612313266145     -15.468801672395784  -36.00935555638074
1msa2tma             -4.838700315536698     -27.226330374425743  -75.08847915114994
1fa1sa               -4.858975059178192     -16.192389193514828  -38.012457267800315
1am1b4w              -4.936389422218781     -54.94282394525362   -167.7224032297412
1am1dma1msa          -5.196010011131875     -26.5119090807857    -71.49387579979376
1am1b3w              -5.202979438647162     -46.0300703876419    -136.93473402323525
1pa1sa               -5.275488795188721     -17.680707905674353  -41.6073087713702
2dma1nta             -5.339270118245622     -27.498727848404087  -74.32318541061589
1am1sa               -5.402487485611346     -14.571902136085555  -30.754367434249886
1am1dma1nta          -5.413961300946539     -26.06767479100381   -69.27289448284972
1am1msa1nta          -5.459223239595303     -27.806033687258605  -74.95156950409407
2sa                  -5.508116935030557     -17.071923069655895  -38.785195823423464
1b2w                 -5.710945479746442     -25.39822804564028   -66.03146927999893
1b1dma5w             -5.733647831249982     -67.67063791854889   -207.73768266836402
1dma1msa             -5.75903526332695      -18.11401164205745   -41.438793824698124
1b1dma3w             -5.866174884024076     -48.663886423950316  -143.54422787237462
2homF1sa             -6.191387369821314     -38.29236484883586   -107.66720603356828
1homF1sa1w           -6.266590462240856     -32.304134117250214  -87.33034933788488
1dma1eda2fa          -6.354825133108534     -40.79118636107887   -115.50012150969393
1am1ma1msa           -6.501084297779016     -28.172758732107468  -72.68715222003924
1ma1msa1tma          -6.642634035917581     -29.72797119783354   -77.42860024158301
2am2nta              -6.775559312547557     -38.07451371283969   -104.97720744724592
4msa                 -6.82146613788791      -48.13427617843263   -138.56384383854297
1eda2nta             -6.854712822532747     -30.95293693075655   -80.82583970588817
2dma2fa              -6.929255676397588     -40.894179038965376  -113.91891116120894
2homF1sa1w           -6.944257265480701     -49.550885887336335  -142.903332622474
1eda1msa             -6.947692922782153     -20.3074501886731    -44.8088454329705
1ma1sa               -7.024878314463422     -17.454430596670136  -34.98088976078634
1am1msa1tma          -7.0372410976706306    -28.346411287231604  -71.47130702574246
2ma1msa              -7.096428061311599     -30.857155395497102  -79.69386997940278
1dma1eda1nta         -7.212638548546238     -30.13518010644475   -76.88258110996733
1mbtca1sa            -7.245771325309761     -21.15587677009171   -46.65472226930051
2sa1w                -7.277997663593851     -29.39489927868999   -74.1804515011147
3am1sa               -7.437449103977997     -36.475611500267405  -97.39447390941723
1dma2nta             -7.579783969849814     -30.918540033861063  -78.2785714036375
4am1sa               -7.620564691314939     -46.91812169161858   -131.80465202221416
1b3w                 -7.68304073048057      -37.49073648324702   -99.97550143448542
1eda1msa1tma         -7.716502216659137     -32.45173969658208   -82.96239302434903
1msa1sa              -7.724173037917353     -20.938638285093475  -44.321533615016506
1am1nta1sa           -7.928631049173418     -28.846718222484924  -70.15960816126584
1dma1p1sa            -8.001981535635423     -17.9662639645976    -33.42036702600305
2am1dma1sa           -8.008947453810833     -39.432441422424745  -105.3949152063381
2nta1tma             -8.066069865613827     -30.70710785567644   -75.93841351716418
1b4w                 -8.07333139347611      -49.315566250064876  -138.3271335121992
1homF2sa             -8.13238209974952      -36.84165685495827   -96.29137935642586
1b1dma4w             -8.270515851443633     -61.08810508143506   -177.15106231735547
1b5w                 -8.36041432939237      -60.05604648333974   -173.3879998455095
2msa                 -8.735519986134022     -22.38927311869338   -45.79491240183509
1dma1sa6w            -8.769509280857164     -81.05743616336258   -242.4548947926338
1homF2sa1w           -8.896610314492136     -48.14345217360824   -131.63455260381446
2sa4w                -8.916722207446583     -63.88648710568668   -184.36949487888074
1am1eda1msa          -9.017019162536599     -31.751380066387355  -76.25142010364888
1pha1sa              -9.070299346931279     -21.351270819897763  -41.19058015282414
2sa2w                -9.105265389895067     -40.971329474909     -106.87930264912733
1fa1msa2tma          -9.150251533224946     -44.437406702840235  -118.35369837243802
1dma1msa1tma         -9.338899356211186     -32.854028609843226  -78.87012998042681
2sa3w                -9.440983887645416     -52.535216095042415  -144.53876306413412
2am1sa               -9.56439219135791      -27.59965608129278   -60.4905714905737
3sa                  -9.761562698055059     -33.274879032047465  -78.86404941975772
1am1ma1sa            -9.773935893957969     -30.660993410623632  -70.05553418314432
1am1fa1msa           -9.83763834607089      -30.84141276893206   -70.44700460469862
2homF2sa1w           -9.975486367824487     -66.92261599485937   -191.00160867645906
2sa5w                -10.037228597910143    -74.70910070976242   -216.91052192421498
1ma1sa1w             -10.116698260593694    -30.889928988573956  -69.67375726294338
1eda1sa              -10.157631228445098    -22.408713258628268  -41.09033047194045
1am1fa1sa            -10.218874113226775    -31.043362272379454  -69.84567552910659
1bda1sa              -10.258261379785836    -22.514793409849517  -41.10860986093785
2msa1sa              -10.287306549202185    -36.64737836731365   -88.41211409847338
1sa1tma3w            -10.325867779320106    -53.015786506206496  -143.1826890048729
2ma1sa               -10.332207609259058    -32.29368471563794   -73.65915514480761
2am1fa1msa           -10.49326208239654     -43.026107791112736  -109.11569917405178
1pa2sa               -10.586081035202369    -36.61202079814393   -87.291429693453
1dma1eda1msa         -10.589027853799053    -35.67992130538914   -84.15526899799131
2pha                 -10.591260150191374    -23.476505094673485  -43.21732330760561
2pa1sa               -10.604001030151267    -41.32265950465808   -103.03088537418597
1ma1msa1nta          -10.780841775034787    -34.75140326452674   -80.39765718464007
1sa1tma2w            -10.95864485904167     -41.94581563601969   -103.93148005026094
1am1fa1msa1tma       -11.018189865993918    -43.88522630490479   -110.2365803750447
1ca1sa               -11.052948637341615    -26.091222293151077  -50.43861699090847
4ma1sa               -11.06496604590211     -56.213570672029164  -151.4291619189103
2ma1sa1w             -11.153498516127001    -43.54458247420553   -108.64022793261324
1dma1sa              -11.2352122492739      -21.52498220227426   -34.5120575312164
1am1dma1p            -11.34694585345278     -19.915124800798367  -28.737813004541295
2homF2sa             -11.422319775330834    -57.358964326558635  -154.07226077899531
1fa1msa1tma          -11.489717618111172    -35.20424876434845   -79.53892720544567
3sa1w                -11.537490518298       -47.38422999197792   -120.23055332490779
2ca                  -11.573528274078853    -29.57615996536333   -60.38112255946962
1sa1tma1w            -11.638529418167309    -31.98506818014721   -68.24262539645733
1mbtca2sa            -11.65164048934821     -39.45399254967924   -93.24954573398314
3ma1sa               -11.690606510848738    -45.043965416552965  -111.86771392123154
1sa1tma              -11.787791160415509    -22.356506191863446  -35.447643908928285
2dma1msa             -11.870780096913222    -35.707069275842514  -79.94730564786552
3sa2w                -12.061773829394951    -59.00601656999788   -157.4517616653195
1msa2sa              -12.088267432409339    -38.1918201452354    -87.55174480266707
1am2msa              -12.159365082741715    -35.88096876896452   -79.56264862131489
1diAAmda1sa          -12.194138302409556    -24.08539772371296   -39.883479528404095
1dma1sa5w            -12.323169072915334    -74.30017583532026   -207.8718992537453
1mea1sa1w            -12.362125180021394    -34.84181227812951   -75.39723997307593
1am2nta1tma          -12.374042742550955    -43.93690190746565   -105.86234836498933
1dma1sa4w            -12.506579892768059    -64.81123556231614   -175.43067472651438
1am1eda1sa           -12.609294632566161    -34.030733594612684  -71.8478583328674
1sa2tma2w            -12.640848266280955    -54.85813269994105   -141.59746581881524
1ma1sa3w             -12.67608063906664     -52.621428314072546  -133.97735259140504
2dma1p               -12.699683794562588    -23.767703022327623  -37.12231838932486
2mbtca1sa            -12.734431916789617    -43.13339697470656   -101.95862840009735
2eda1msa             -12.747462298546452    -39.43395046098158   -89.50691988139677
1am1homF1sa          -12.875517944979947    -38.748144306242466  -86.77721402261453
2am1fa1sa            -12.926333691051695    -44.23388721636729   -105.00604905348726
1eda1ma1sa           -13.14350771298632     -36.057968113571405  -76.85547677545519
1ma1sa2w             -13.164474371878896    -43.17429052005173   -100.65341656289341
1am1dma1sa           -13.197196425986476    -33.785242679703515  -69.05264549266947
3msa                 -13.225619924953207    -39.98573618964292   -89.75386974689314
1msa3sa              -13.25995909422636     -50.69954073452391   -125.57297212844837
1sa1teAABBmda        -13.348933498869883    -25.488905075733783  -40.71766418488643
1ma1nta1sa           -13.417076867714059    -34.73169749986846   -71.489587898684
1sa1triAABmda        -13.559738996205851    -25.462095342751127  -39.92069879790141
1am1p1sa             -13.706429806596134    -20.274170278396923  -22.02830948069837
1dma1sa1w            -13.749110641889274    -34.41748057572113   -69.32205243643648
2ma1sa2w             -13.767001677013468    -55.72166274560732   -140.7166227359334
1diABmda1sa          -13.810046294413041    -25.769646661588922  -40.112696183012105
1sa2tma1w            -13.886266831628745    -46.09013852888893   -108.01231493298468
1msa1nta1tma         -13.894419844596996    -37.943715909466846  -80.66173424431835
1pda1sa              -13.901049282343592    -26.475330798130017  -42.17434685826103
1dma1sa3w            -13.907224840077106    -55.24331049172906   -138.64191062123035
1dma1ma1sa           -13.907301271799952    -36.318495603860356  -75.16751411072192
1fa1ma1msa1tma       -13.919776966926293    -49.08211961147026   -117.93507511180597
1am2dma1sa           -13.939644439786207    -47.34515513421502   -112.04263187785646
1dma1sa1tma          -14.056935030166642    -36.11658681681729   -73.98843463581748
1mda1sa              -14.062320155207999    -26.17988266289467   -40.642503799168026
1sa2tma              -14.079134031984722    -36.62948653870262   -75.63425291523211
4dma1sa              -14.122918211331125    -62.051573490316514  -160.75349749856525
1fa1ma1msa           -14.125160227820743    -37.34151912032394   -77.86804927884165
1am1ma2nta           -14.186897412524559    -45.59172540175496   -105.33230920469205
1eda1sa1tma          -14.397939463276998    -37.99997190394788   -79.16160469672147
2ca1sa               -14.567861268122215    -45.883845757634845  -105.03432664446265
1am2homF1sa          -14.620565693883691    -57.69399801950203   -144.4689999172915
3msa1sa              -14.63964799704263     -55.219452077464666  -136.1053298024814
