Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-9
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/r2...
1msa1am1eda-22_6    -911.303499625143 
1msa1am1eda-58_11   -911.277493750384 
1msa1am1eda-46_2    -911.288134976826 
1msa1am1eda-36_9    -911.287626579703 
1msa1am1eda-60_8    -911.271282441142 
1msa1am1eda-66_10   -911.270193970083 
1msa1am1eda-10_3    -911.296971484486 
1msa1am1eda-29_5    -911.291927336381 
1msa1am1eda-3_11    -911.291189494997 
1msa1am1eda-22_1    -911.329863119306 
1msa1am1eda-5_9     -911.298429879984 
1msa1am1eda-74_7    -911.263288464943 
1msa1am1eda-43_11   -911.298569901427 
1msa1am1eda-46_5    -911.283117509267 
1msa1am1eda-2_3     -911.297804065948 
1msa1am1eda-9_7     -911.295903316331 
1msa1am1eda-67_2    -911.270542911917 
1msa1am1eda-17_9    -911.290859303115 
1msa1am1eda-26_10   -911.28261230139  
1msa1am1eda-31_4    -911.300762896372 
1msa1am1eda-60_6    -911.26311034017  
1msa1am1eda-5_7     -911.302257797078 
1msa1am1eda-70_10   -911.274882663787 
1msa1am1eda-52_4    -911.291161600079 
1msa1am1eda-74_9    -911.268903965135 
1msa1am1eda-55_11   -911.270582957413 
1msa1am1eda-25_5    -911.294516072445 
1msa1am1eda-9_9     -911.305540821111 
1msa1am1eda-15_11   -911.303624854538 
1msa1am1eda-17_7    -911.292102097386 
1msa1am1eda-41_1    -911.323381543191 
1msa1am1eda-30_10   -911.292724722727 
1msa1am1eda-73_3    -911.266392629913 
1msa1am1eda-25_2    -911.296043472432 
1msa1am1eda-55_9    -911.285960341223 
1msa1am1eda-41_6    -911.274867015689 
1msa1am1eda-73_4    -911.269505677378 
1msa1am1eda-60_1    -911.317356394116 
1msa1am1eda-59_7    -911.276162874848 
1msa1am1eda-22_8    -911.29207828546  
1msa1am1eda-52_3    -911.288269818876 
1msa1am1eda-36_7    -911.294450397004 
1msa1am1eda-49_4    -911.289048860116 
1msa1am1eda-5_10    -911.299479278677 
1msa1am1eda-60_11   -911.278801146678 
1msa1am1eda-70_2    -911.275546520403 
1msa1am1eda-26_4    -911.287103520755 
1msa1am1eda-14_6    -911.299432252724 
1msa1am1eda-45_10   -911.290661884043 
1msa1am1eda-35_1    -911.324383686648 
1msa1am1eda-63_7    -911.275499040312 
1msa1am1eda-20_11   -911.304297256113 
1msa1am1eda-6_6     -911.297144476769 
1msa1am1eda-51_5    -911.273569774559 
1msa1am1eda-68_3    -911.267668689342 
1msa1am1eda-18_8    -911.288188834893 
1msa1am1eda-35_6    -911.286991337666 
1msa1am1eda-6_1     -911.334637400333 
1msa1am1eda-21_9    -911.287655115064 
1msa1am1eda-51_2    -911.265896675219 
1msa1am1eda-68_4    -911.274997765744 
1msa1am1eda-42_7    -911.290473849802 
1msa1am1eda-49_3    -911.291464081244 
1msa1am1eda-39_8    -911.298441469947 
1msa1am1eda-70_5    -911.277216804766 
1msa1am1eda-26_3    -911.298545035029 
1msa1am1eda-56_8    -911.274784871017 
1msa1am1eda-14_1    -911.330857355966 
1msa1am1eda-45_3    -911.278515501783 
1msa1am1eda-35_8    -911.285305195113 
1msa1am1eda-13_5    -911.302312033068 
1msa1am1eda-21_7    -911.288776685737 
1msa1am1eda-18_1    -911.330561221163 
1msa1am1eda-42_9    -911.281365107695 
1msa1am1eda-32_2    -911.308424717061 
1msa1am1eda-48_10   -911.284253459323 
1msa1am1eda-39_6    -911.29574980285  
1msa1am1eda-56_6    -911.266834010945 
1msa1am1eda-1_5     -911.312491518444 
1msa1am1eda-8_10    -911.297157661629 
1msa1am1eda-64_4    -911.283465663752 
1msa1am1eda-32_5    -911.27688478336  
1msa1am1eda-39_1    -911.324652034986 
1msa1am1eda-56_1    -911.317497353191 
1msa1am1eda-53_10   -911.275890284959 
1msa1am1eda-1_2     -911.298090423023 
1msa1am1eda-64_3    -911.277870862892 
1msa1am1eda-14_8    -911.287023817225 
1msa1am1eda-13_10   -911.290813111916 
1msa1am1eda-45_4    -911.285073299722 
1msa1am1eda-63_9    -911.288999078636 
1msa1am1eda-36_11   -911.295682950226 
1msa1am1eda-13_2    -911.290441746831 
1msa1am1eda-6_8     -911.301904424857 
1msa1am1eda-18_6    -911.281026850253 
1msa1am1eda-23_6    -911.296989829986 
1msa1am1eda-58_9    -911.295211707305 
1msa1am1eda-28_2    -911.295282368739 
1msa1am1eda-11_4    -911.304244989397 
1msa1am1eda-24_10   -911.287689174014 
1msa1am1eda-37_9    -911.300953336475 
1msa1am1eda-47_2    -911.277833663309 
1msa1am1eda-66_5    -911.262752508761 
1msa1am1eda-41_11   -911.299527923968 
1msa1am1eda-3_4     -911.29291234372  
1msa1am1eda-54_7    -911.272119768625 
1msa1am1eda-64_10   -911.264252937715 
1msa1am1eda-30_3    -911.295549439221 
1msa1am1eda-40_8    -911.276021541257 
1msa1am1eda-1_11    -911.302997647501 
1msa1am1eda-16_9    -911.287006917089 
1msa1am1eda-66_2    -911.271819874181 
1msa1am1eda-8_7     -911.302148751322 
1msa1am1eda-3_3     -911.285952953743 
1msa1am1eda-30_4    -911.294871944967 
1msa1am1eda-23_1    -911.328998081817 
1msa1am1eda-4_9     -911.303373276739 
1msa1am1eda-28_5    -911.293803363152 
1msa1am1eda-11_3    -911.294316094064 
1msa1am1eda-61_8    -911.286379544081 
1msa1am1eda-47_5    -911.287679039228 
1msa1am1eda-16_7    -911.301940847146 
1msa1am1eda-8_9     -911.290663042289 
1msa1am1eda-24_5    -911.29382334692  
1msa1am1eda-69_10   -911.270362205707 
1msa1am1eda-72_3    -911.273907492408 
1msa1am1eda-40_1    -911.324607817454 
1msa1am1eda-53_4    -911.277369317749 
1msa1am1eda-4_7     -911.297859856982 
1msa1am1eda-61_6    -911.281320881934 
1msa1am1eda-29_10   -911.289188466681 
1msa1am1eda-53_3    -911.264089963377 
1msa1am1eda-23_8    -911.301366337368 
1msa1am1eda-32_10   -911.287141763376 
1msa1am1eda-58_7    -911.288179345099 
1msa1am1eda-61_1    -911.31472110198  
1msa1am1eda-17_11   -911.299687385837 
1msa1am1eda-37_7    -911.302354197925 
1msa1am1eda-57_11   -911.284542041438 
1msa1am1eda-54_9    -911.275482832772 
1msa1am1eda-24_2    -911.291155435137 
1msa1am1eda-72_10   -911.28868951638  
1msa1am1eda-72_4    -911.277578767593 
1msa1am1eda-40_6    -911.282677789254 
1msa1am1eda-55_8    -911.277248783731 
1msa1am1eda-25_3    -911.280488327846 
1msa1am1eda-17_1    -911.330935010732 
1msa1am1eda-41_7    -911.297575794016 
