Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
      components                                                            [msa, nta, am, dma]
      file_basename                                                        1msa1nta1am1dma-30_1
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_IV/GF...
1msa1nta1am1dma-60_8    -55.7300612477 
1msa1nta1am1dma-3_11    -55.76511001931
1msa1nta1am1dma-29_5    -55.74175912516
1msa1nta1am1dma-22_1    -55.76373196743
1msa1nta1am1dma-56_11   -55.72683225137
1msa1nta1am1dma-56_6    -55.73150432063
1msa1nta1am1dma-8_10    -55.76286815057
1msa1nta1am1dma-1_2     -55.77283783861
1msa1nta1am1dma-32_2    -55.74717427022
1msa1nta1am1dma-42_9    -55.73848581375
1msa1nta1am1dma-39_6    -55.73527790165
1msa1nta1am1dma-13_5    -55.74271582167
1msa1nta1am1dma-38_11   -55.74905811602
1msa1nta1am1dma-6_8     -55.7734446101 
1msa1nta1am1dma-21_7    -55.74255004212
1msa1nta1am1dma-18_1    -55.76468833982
1msa1nta1am1dma-35_8    -55.74343567562
1msa1nta1am1dma-45_3    -55.74649304813
1msa1nta1am1dma-13_2    -55.74012787022
1msa1nta1am1dma-63_9    -55.73127769792
1msa1nta1am1dma-18_6    -55.72895858769
1msa1nta1am1dma-45_4    -55.74682572797
1msa1nta1am1dma-23_11   -55.75111126761
1msa1nta1am1dma-56_1    -55.74370332526
1msa1nta1am1dma-63_11   -55.72472840977
1msa1nta1am1dma-14_8    -55.75946123325
1msa1nta1am1dma-1_5     -55.77247649479
1msa1nta1am1dma-32_5    -55.7460930296 
1msa1nta1am1dma-46_10   -55.74434899755
1msa1nta1am1dma-39_1    -55.75822786624
1msa1nta1am1dma-63_7    -55.73062678759
1msa1nta1am1dma-6_1     -55.78521297934
1msa1nta1am1dma-10_10   -55.77783585048
1msa1nta1am1dma-51_5    -55.73073360371
1msa1nta1am1dma-18_8    -55.74241890008
1msa1nta1am1dma-35_11   -55.74333872994
1msa1nta1am1dma-35_1    -55.75565167605
1msa1nta1am1dma-26_4    -55.74233519272
1msa1nta1am1dma-14_6    -55.75746968222
1msa1nta1am1dma-50_10   -55.7249280314 
