Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
1msa1nta1am1dma-52_4    -1136.816222092993
1msa1nta1am1dma-60_6    -1136.810308744301
1msa1nta1am1dma-31_4    -1136.838689555391
1msa1nta1am1dma-67_2    -1136.814332321514
1msa1nta1am1dma-49_11   -1136.815234200015
1msa1nta1am1dma-17_9    -1136.8192398297  
1msa1nta1am1dma-9_7     -1136.851962945334
1msa1nta1am1dma-2_3     -1136.862048292514
1msa1nta1am1dma-46_5    -1136.826154923087
1msa1nta1am1dma-5_9     -1136.849984068526
1msa1nta1am1dma-22_1    -1136.883728701803
1msa1nta1am1dma-29_5    -1136.835072918185
1msa1nta1am1dma-3_11    -1136.853193379132
1msa1nta1am1dma-60_8    -1136.82466060449 
1msa1nta1am1dma-10_3    -1136.864359189413
1msa1nta1am1dma-46_2    -1136.825820883982
1msa1nta1am1dma-36_9    -1136.838881748521
1msa1nta1am1dma-37_10   -1136.839799842038
1msa1nta1am1dma-22_6    -1136.828891186251
1msa1nta1am1dma-12_11   -1136.837865455631
1msa1nta1am1dma-29_2    -1136.818926082422
1msa1nta1am1dma-59_9    -1136.822607353572
1msa1nta1am1dma-10_4    -1136.845448151861
1msa1nta1am1dma-41_8    -1136.824762316031
1msa1nta1am1dma-31_3    -1136.835501327532
1msa1nta1am1dma-52_11   -1136.817110041188
1msa1nta1am1dma-67_5    -1136.811550041601
1msa1nta1am1dma-55_7    -1136.831317270676
1msa1nta1am1dma-2_4     -1136.853358151924
1msa1nta1am1dma-18_6    -1136.829742793769
1msa1nta1am1dma-6_8     -1136.863277253517
1msa1nta1am1dma-63_9    -1136.816727179452
1msa1nta1am1dma-13_2    -1136.831012006635
1msa1nta1am1dma-45_4    -1136.841066217887
1msa1nta1am1dma-59_10   -1136.800157334954
1msa1nta1am1dma-14_8    -1136.855513903113
1msa1nta1am1dma-19_10   -1136.831413637201
1msa1nta1am1dma-1_2     -1136.861345913502
1msa1nta1am1dma-56_1    -1136.85619033187 
1msa1nta1am1dma-39_1    -1136.872115623799
1msa1nta1am1dma-32_5    -1136.821175843329
1msa1nta1am1dma-8_10    -1136.840480770664
1msa1nta1am1dma-56_6    -1136.816134079801
1msa1nta1am1dma-1_5     -1136.861066085921
1msa1nta1am1dma-27_11   -1136.822926739047
1msa1nta1am1dma-39_6    -1136.828637251568
1msa1nta1am1dma-42_9    -1136.830668800012
1msa1nta1am1dma-32_2    -1136.822059412521
1msa1nta1am1dma-18_1    -1136.885027983215
1msa1nta1am1dma-21_7    -1136.846708846344
1msa1nta1am1dma-42_10   -1136.827474993281
1msa1nta1am1dma-13_5    -1136.852480241745
1msa1nta1am1dma-45_3    -1136.836562201897
1msa1nta1am1dma-35_8    -1136.843785069281
1msa1nta1am1dma-67_11   -1136.810120093321
1msa1nta1am1dma-14_1    -1136.885769057642
1msa1nta1am1dma-31_11   -1136.839822712587
1msa1nta1am1dma-26_3    -1136.842240999172
1msa1nta1am1dma-56_8    -1136.805797069718
1msa1nta1am1dma-14_10   -1136.847404365263
1msa1nta1am1dma-49_3    -1136.829795337557
1msa1nta1am1dma-39_8    -1136.817770693802
1msa1nta1am1dma-42_7    -1136.82104370527 
1msa1nta1am1dma-54_10   -1136.812407487351
1msa1nta1am1dma-21_9    -1136.83364098642 
1msa1nta1am1dma-51_2    -1136.817341421853
1msa1nta1am1dma-6_1     -1136.893386274749
1msa1nta1am1dma-35_6    -1136.83671198794 
1msa1nta1am1dma-18_8    -1136.826851076728
1msa1nta1am1dma-6_6     -1136.845991366136
1msa1nta1am1dma-51_5    -1136.82011007233 
1msa1nta1am1dma-63_7    -1136.816811290626
1msa1nta1am1dma-35_1    -1136.870340821507
1msa1nta1am1dma-14_6    -1136.84258376401 
1msa1nta1am1dma-26_4    -1136.8405825149  
1msa1nta1am1dma-49_4    -1136.827846119341
1msa1nta1am1dma-5_10    -1136.848400557041
1msa1nta1am1dma-38_10   -1136.848081349086
1msa1nta1am1dma-40_6    -1136.854238178802
1msa1nta1am1dma-54_9    -1136.823458056203
1msa1nta1am1dma-24_2    -1136.847782859291
1msa1nta1am1dma-37_7    -1136.810511122816
1msa1nta1am1dma-61_1    -1136.854959313647
1msa1nta1am1dma-58_7    -1136.808169585053
1msa1nta1am1dma-53_3    -1136.81872498121 
1msa1nta1am1dma-23_8    -1136.826746616639
1msa1nta1am1dma-63_10   -1136.81421714745 
1msa1nta1am1dma-61_6    -1136.818626274888
1msa1nta1am1dma-53_4    -1136.821159416431
