Number of files in database_s1.pkl: 18835
Number of files in database_s2.pkl: 18834
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-5
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_III/G...
1sa1msa1am1dma-7_6     -61.55432925719
1sa1msa1am1dma-124_8   -61.49224032666
1sa1msa1am1dma-40_6    -61.5289730352 
1sa1msa1am1dma-25_11   -61.5360805346 
1sa1msa1am1dma-72_4    -61.54971087343
1sa1msa1am1dma-61_1    -61.53811201674
1sa1msa1am1dma-58_7    -61.52417963617
1sa1msa1am1dma-23_8    -61.53059848079
1sa1msa1am1dma-53_3    -61.53554587942
1sa1msa1am1dma-65_11   -61.52456964167
1sa1msa1am1dma-97_5    -61.5165015734 
1sa1msa1am1dma-128_6   -61.48883168524
1sa1msa1am1dma-37_7    -61.52928844676
1sa1msa1am1dma-123_2   -61.49194807079
1sa1msa1am1dma-40_10   -61.51588861986
1sa1msa1am1dma-61_6    -61.51943868437
1sa1msa1am1dma-105_8   -61.52656678572
1sa1msa1am1dma-53_4    -61.54678835535
1sa1msa1am1dma-135_10  -61.49299290755
1sa1msa1am1dma-97_2    -61.49571157338
1sa1msa1am1dma-88_9    -61.51377733579
1sa1msa1am1dma-75_9    -61.51040646703
1sa1msa1am1dma-111_7   -61.50135102777
1sa1msa1am1dma-128_1   -61.50887374468
1sa1msa1am1dma-123_5   -61.48810536546
1sa1msa1am1dma-110_11  -61.49607098203
1sa1msa1am1dma-109_6   -61.5117422016 
1sa1msa1am1dma-90_8    -61.51806091561
1sa1msa1am1dma-24_5    -61.52443718523
1sa1msa1am1dma-80_10   -61.52030125737
1sa1msa1am1dma-16_7    -61.55674078387
1sa1msa1am1dma-102_2   -61.51343794488
1sa1msa1am1dma-79_7    -61.52491454764
1sa1msa1am1dma-84_7    -61.52085317442
1sa1msa1am1dma-7_1     -61.57114612934
1sa1msa1am1dma-40_1    -61.5431141122 
1sa1msa1am1dma-72_3    -61.53645019841
1sa1msa1am1dma-105_6   -61.51548414148
1sa1msa1am1dma-61_8    -61.52221104139
1sa1msa1am1dma-11_3    -61.54447134747
1sa1msa1am1dma-28_5    -61.51966323343
1sa1msa1am1dma-123_10  -61.48500340471
1sa1msa1am1dma-137_4   -61.49881380663
1sa1msa1am1dma-23_1    -61.54447872424
1sa1msa1am1dma-111_9   -61.50528369835
1sa1msa1am1dma-75_7    -61.51539113793
1sa1msa1am1dma-88_7    -61.51700297274
1sa1msa1am1dma-106_11  -61.52430034801
1sa1msa1am1dma-47_5    -61.51216435042
1sa1msa1am1dma-68_11   -61.51048231364
1sa1msa1am1dma-83_3    -61.52800611571
1sa1msa1am1dma-90_6    -61.51447159551
1sa1msa1am1dma-109_8   -61.50561350438
1sa1msa1am1dma-28_11   -61.52557346967
1sa1msa1am1dma-66_2    -61.50350914064
1sa1msa1am1dma-96_10   -61.51917477696
1sa1msa1am1dma-16_9    -61.54703755876
1sa1msa1am1dma-84_9    -61.5167579798 
1sa1msa1am1dma-79_9    -61.5235756234 
1sa1msa1am1dma-124_1   -61.51188515782
1sa1msa1am1dma-30_4    -61.52192179979
1sa1msa1am1dma-116_3   -61.49237615349
1sa1msa1am1dma-90_1    -61.53721927224
1sa1msa1am1dma-16_10   -61.55140041857
1sa1msa1am1dma-54_7    -61.53239009921
1sa1msa1am1dma-130_9   -61.48585877239
1sa1msa1am1dma-66_5    -61.50791207807
1sa1msa1am1dma-33_11   -61.54723847361
1sa1msa1am1dma-1_11    -61.54813790101
1sa1msa1am1dma-40_8    -61.52631974604
1sa1msa1am1dma-124_6   -61.48966062148
1sa1msa1am1dma-30_3    -61.51092329185
1sa1msa1am1dma-7_8     -61.54936114716
1sa1msa1am1dma-116_4   -61.49909175561
1sa1msa1am1dma-105_1   -61.53092872263
1sa1msa1am1dma-11_4    -61.54528935804
1sa1msa1am1dma-73_11   -61.51833217775
1sa1msa1am1dma-28_2    -61.50662984518
1sa1msa1am1dma-58_9    -61.52269087125
1sa1msa1am1dma-137_3   -61.49378691008
1sa1msa1am1dma-23_6    -61.53920784917
1sa1msa1am1dma-56_10   -61.54956138727
1sa1msa1am1dma-128_8   -61.52276165646
1sa1msa1am1dma-138_10  -61.47293268282
1sa1msa1am1dma-47_2    -61.50764557202
1sa1msa1am1dma-37_9    -61.5141298142 
1sa1msa1am1dma-83_4    -61.51974199648
1sa1msa1am1dma-81_2    -61.51958704423
1sa1msa1am1dma-2_4     -61.54093919635
1sa1msa1am1dma-45_4    -61.53106509007
1sa1msa1am1dma-44_11   -61.52735368791
1sa1msa1am1dma-113_8   -61.49069638307
1sa1msa1am1dma-77_6    -61.52781738869
1sa1msa1am1dma-18_6    -61.538441677  
1sa1msa1am1dma-135_5   -61.47962096454
1sa1msa1am1dma-61_10   -61.51952109365
1sa1msa1am1dma-13_2    -61.54939801034
1sa1msa1am1dma-107_7   -61.50339742466
1sa1msa1am1dma-63_9    -61.53208821347
