filename                                cluster(QHA=100cm^-1,T=298.15,p=1atm)  DeltaG(kcal/mol)     DeltaH(kcal/mol)     DeltaS(kcal/(K*mol))
2sa1mbtca1dma1am-20100101_2_771-str38   1am1dma1mbtca2sa                       -50.30519292515237   -102.1239392288262   -0.17380092672555036
2sa1mbtca1tma1ma-20101010_4_472-str70   1ma1mbtca2sa1tma                       -52.05091221300245   -104.02119926680462  -0.17430919689290156
2sa1mbtca1tma1dma-20101100_1_850-str88  1dma1mbtca2sa1tma                      -54.26431893436529   -106.6129583925067   -0.17557819707447955
2cha2ma2sa-22000020_4_36-str34          2cha2ma2sa                             -71.4008907318348    -140.84388515911996  -0.23291294458253634
2cha2sa2tma-22002000_4_21-str1          2cha2sa2tma                            -69.14774006119114   -140.97060907044215  -0.24089508304338986
2am2cha2sa-22000002_8_630-str8          2am2cha2sa                             -59.70701687654946   -128.75847955734935  -0.2315997406678843
2dma2pdpe2sa-20020200_1_867-str5        2dma2pdpe2sa                           -76.56530051480513   -146.64974799670745  -0.23506438866653617
2ma2pdpe2sa-20020020_4_827-str41        2ma2pdpe2sa                            -70.54147353896406   -140.75242532754783  -0.2354886861924883
2pdpe2sa2tma-20022000_1_964-str7        2pdpe2sa2tma                           -63.63660454520141   -134.37802574242232  -0.23726788930857243
2am2mbtca2sa-20200002_4_540-str1        2am2mbtca2sa                           -53.879864379996434  -120.91542904614471  -0.22483838559535904
2cha2dma2sa-22000200_8_770-str99        2cha2dma2sa                            -73.8106230708072    -146.4405316998018   -0.2436019071905229
2am2pdpe2sa-20020002_3_507-str14        2am2pdpe2sa                            -60.22149054647889   -127.32056118233595  -0.22505138566243452
2ma2mbtca2sa-20200020_4_297-str45       2ma2mbtca2sa                           -66.9348237416707    -136.019859590102    -0.2317123456251127
2mbtca2sa2tma-20202000_1_613-str4       2mbtca2sa2tma                          -66.67073447656003   -137.56495656532934  -0.23778038600655382
2dma2mbtca2sa-20200200_1_139-str44      2dma2mbtca2sa                          -68.65476649464108   -139.6257979045622   -0.23803800573347492
