Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-3
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/GF...
1msa1am1eda-56_6    -41.76562039799
1msa1am1eda-8_4     -41.78451956729
1msa1am1eda-8_10    -41.79072766522
1msa1am1eda-64_4    -41.77159131685
1msa1am1eda-42_9    -41.77106174016
1msa1am1eda-32_2    -41.78321400058
1msa1am1eda-39_6    -41.77933937836
1msa1am1eda-13_5    -41.79169081272
1msa1am1eda-21_7    -41.78726942132
1msa1am1eda-18_1    -41.80227474907
1msa1am1eda-45_3    -41.77074753571
1msa1am1eda-35_8    -41.77377509968
1msa1am1eda-63_9    -41.76752048487
1msa1am1eda-13_2    -41.78916575178
1msa1am1eda-18_6    -41.77735391227
1msa1am1eda-45_4    -41.77159023556
1msa1am1eda-25_11   -41.79542270767
1msa1am1eda-56_1    -41.78981100051
1msa1am1eda-3_7     -41.78730639944
1msa1am1eda-8_3     -41.78898278744
1msa1am1eda-65_11   -41.73907236776
1msa1am1eda-64_3    -41.76923538527
1msa1am1eda-14_8    -41.78346454228
1msa1am1eda-32_5    -41.78544265686
1msa1am1eda-39_1    -41.79679750284
1msa1am1eda-40_10   -41.77596503161
1msa1am1eda-46_2    -41.77356626933
1msa1am1eda-36_9    -41.78071118691
1msa1am1eda-10_4    -41.78247328645
1msa1am1eda-29_2    -41.76319692224
1msa1am1eda-59_9    -41.76641086072
1msa1am1eda-22_6    -41.7917725038 
1msa1am1eda-41_8    -41.78960640273
1msa1am1eda-31_3    -41.78199899953
1msa1am1eda-55_7    -41.75702965708
1msa1am1eda-67_5    -41.74542967317
1msa1am1eda-31_4    -41.79051708247
1msa1am1eda-10_11   -41.79983913381
1msa1am1eda-35_10   -41.77775823474
1msa1am1eda-67_2    -41.75449107971
1msa1am1eda-17_9    -41.78435607634
1msa1am1eda-74_7    -41.74449737809
1msa1am1eda-46_5    -41.78285781408
1msa1am1eda-60_8    -41.7627795795 
1msa1am1eda-10_3    -41.7842991851 
1msa1am1eda-29_5    -41.77705531629
1msa1am1eda-3_11    -41.78669905368
1msa1am1eda-22_1    -41.80237742436
1msa1am1eda-50_11   -41.76407173089
1msa1am1eda-41_1    -41.79819904109
1msa1am1eda-73_3    -41.74450132966
1msa1am1eda-23_10   -41.78628820158
1msa1am1eda-25_5    -41.78207324223
1msa1am1eda-17_7    -41.79030994282
1msa1am1eda-74_9    -41.75235516147
1msa1am1eda-63_10   -41.76370207219
1msa1am1eda-60_6    -41.76574194627
1msa1am1eda-46_11   -41.77839628995
1msa1am1eda-7_2     -41.7923203932 
1msa1am1eda-52_4    -41.77341550915
1msa1am1eda-36_7    -41.78749933063
1msa1am1eda-60_1    -41.79022178725
1msa1am1eda-59_7    -41.76681648716
1msa1am1eda-22_8    -41.78843622472
1msa1am1eda-52_3    -41.77896873973
1msa1am1eda-7_5     -41.78941872691
1msa1am1eda-41_6    -41.77290961267
1msa1am1eda-73_4    -41.74705706475
1msa1am1eda-38_10   -41.78495442691
1msa1am1eda-25_2    -41.78384984813
1msa1am1eda-55_9    -41.77837123493
1msa1am1eda-15_6    -41.78841697411
1msa1am1eda-2_9     -41.78375737425
1msa1am1eda-27_4    -41.79082125386
1msa1am1eda-71_2    -41.74802516181
1msa1am1eda-48_4    -41.7727181827 
1msa1am1eda-19_8    -41.76582911644
1msa1am1eda-69_3    -41.74501591633
1msa1am1eda-50_5    -41.76514484801
1msa1am1eda-5_3     -41.77725304093
1msa1am1eda-62_7    -41.76771940012
1msa1am1eda-34_1    -41.8020952418 
1msa1am1eda-7_10    -41.78584283815
1msa1am1eda-69_4    -41.75018907218
1msa1am1eda-5_4     -41.78765924916
1msa1am1eda-50_2    -41.77217031717
1msa1am1eda-20_9    -41.77219040351
1msa1am1eda-54_10   -41.76305810657
1msa1am1eda-34_6    -41.78804028861
1msa1am1eda-71_11   -41.75278984164
1msa1am1eda-15_1    -41.80194660176
1msa1am1eda-57_8    -41.76454871345
1msa1am1eda-27_3    -41.7892044486 
1msa1am1eda-31_11   -41.79291685469
1msa1am1eda-71_5    -41.73794821668
1msa1am1eda-38_8    -41.78199202676
1msa1am1eda-48_3    -41.77023307442
1msa1am1eda-43_7    -41.78164230578
1msa1am1eda-14_10   -41.78263253029
1msa1am1eda-42_10   -41.77384283273
1msa1am1eda-19_1    -41.80218179662
1msa1am1eda-20_7    -41.78454086118
1msa1am1eda-12_5    -41.7936177882 
1msa1am1eda-67_11   -41.75057505106
1msa1am1eda-34_8    -41.78108390891
1msa1am1eda-44_3    -41.79086029209
1msa1am1eda-65_4    -41.75010916621
1msa1am1eda-9_4     -41.78403486612
1msa1am1eda-27_11   -41.79353174084
1msa1am1eda-57_6    -41.76763413323
1msa1am1eda-38_6    -41.78359027453
1msa1am1eda-33_2    -41.79542983894
1msa1am1eda-43_9    -41.78251780946
1msa1am1eda-15_8    -41.78002564298
1msa1am1eda-65_3    -41.7486848862 
1msa1am1eda-9_3     -41.78323000346
1msa1am1eda-19_10   -41.77931037796
1msa1am1eda-57_1    -41.78781591012
1msa1am1eda-2_7     -41.78951222051
1msa1am1eda-38_1    -41.79671393663
1msa1am1eda-33_5    -41.78821910079
1msa1am1eda-19_6    -41.76767708578
1msa1am1eda-12_2    -41.7725928817 
1msa1am1eda-62_9    -41.76331303369
1msa1am1eda-44_4    -41.77641303361
1msa1am1eda-59_10   -41.76397376335
1msa1am1eda-13_3    -41.78688142676
1msa1am1eda-63_8    -41.76345238717
1msa1am1eda-21_1    -41.80480078974
1msa1am1eda-18_7    -41.77402521925
