#CLUSTER            ddG_298.15K_[Eh]     ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
2eda2ma4sa          -99.68639350822195   -192.69513625488617  -311.952851741968
1am3dma4sa          -99.79088090523146   -187.00325978174806  -292.5117520593453
1am2dma1eda4sa      -99.89975189836696   -189.8102985881269   -301.56145124638886
1dma3ma4sa          -100.045805048896    -187.41631058068015  -293.0421114584768
4sa4tma             -100.18622722197324  -189.56109777803067  -299.76478469260786
1dma1ma4sa2tma      -100.67550088977441  -189.24328591529047  -297.0578065559158
2ma4sa2tma          -100.84492066083476  -188.04150931391632  -292.4587913883922
1eda4sa3tma         -101.71615121734794  -191.23297049163375  -300.2408830233034
1ma4sa3tma          -101.86322429555003  -191.2095394450007   -299.66900938713127
1dma4sa3tma         -102.17192915256601  -192.51615682488773  -303.0160243922563
1dma1eda2ma4sa      -102.23696652590297  -190.41571456450038  -295.75297011083677
2dma2ma4sa          -102.6271211586427   -191.20922892168164  -297.10584525701705
3ma4sa1tma          -102.95493936480489  -190.26813484259765  -292.84989259385134
1eda1ma4sa2tma      -103.44213675241917  -193.4759652208886   -301.9749403569332
1dma2ma4sa1tma      -103.54383889224846  -191.95252874071593  -296.5241987203358
2dma1ma4sa1tma      -103.62061441305559  -192.7703791607346   -299.00977611106134
1dma1eda4sa2tma     -103.6337683943566   -194.51720145967556  -304.8245281400543
1eda2ma4sa1tma      -103.79185240215156  -194.26302161064814  -303.44178838810853
2eda1ma4sa1tma      -104.47026122768875  -199.02804531363654  -317.14836185138176
2dma4sa2tma         -104.55966464383528  -193.91110559127992  -299.6862013979185
2dma1eda1ma4sa      -104.63922844082117  -195.20012877346016  -303.7427480521497
3eda4sa1tma         -105.05316792998929  -199.31636004938628  -316.160295555389
1dma1eda1ma4sa1tma  -105.08310692885425  -196.02129123124178  -305.0081646876872
3dma4sa1tma         -105.08594090992119  -194.2567710778385   -299.0804298762086
2eda4sa2tma         -105.23122126492672  -200.49954930966487  -319.53153796637145
1dma2eda1ma4sa      -105.95123191480525  -199.54976134723984  -313.9310059763166
3dma1ma4sa          -106.28434751345776  -195.52873347955756  -299.3271372321927
3eda1ma4sa          -106.7960963610094   -200.62669222499244  -314.70936060114707
4dma4sa             -107.6623192303814   -196.8843958263751   -299.2523112367559
3dma1eda4sa         -107.77350301365368  -199.9671366326511   -309.2189623282858
1dma2eda4sa1tma     -108.35855441738386  -200.39363207362476  -308.6871630257418
2dma1eda4sa1tma     -108.39900228509214  -200.18200574626098  -307.8417020330478
4eda4sa             -108.80618557124399  -203.8776025341358   -318.8710949605059
1dma3eda4sa         -110.45703563513234  -202.80527164950036  -309.7375013044476
2dma2eda4sa         -110.51854076539166  -204.0202720060479   -313.60634325083913
