Number of files in database_s1.pkl: 30501
Number of files in database_s2.pkl: 30501
Example output:
info  cluster_type                                                                       1am1fa
      component_ratio                                                                    [1, 1]
1fa1dma1eda-38_6       -515.30676850669  
1fa1dma1eda-33_2       -515.30286415127  
1fa1dma1eda-43_9       -515.300111073666 
1fa1dma1eda-19_1       -515.355758895664 
1fa1dma1eda-68_10      -515.313248739687 
1fa1dma1eda-20_7       -515.331856169529 
1fa1dma1eda-12_5       -515.306537209392 
1fa1dma1eda-34_8       -515.304970406005 
1fa1dma1eda-44_3       -515.308032959829 
1fa1dma1eda-46_5       -515.290364699709 
1fa1dma1eda-60_8       -515.305248009205 
1fa1dma1eda-10_3       -515.305293328671 
1fa1dma1eda-29_5       -515.314084325881 
1fa1dma1eda-3_11       -515.302333432863 
1fa1dma1eda-22_1       -515.35499665227  
1fa1dma1eda-5_6        -515.317790627239 
1fa1dma1eda-31_4       -515.320703743179 
1fa1dma1eda-9_8        -515.302741555993 
1fa1dma1eda-67_2       -515.307747084512 
1fa1dma1eda-17_9       -515.321074456032 
1fa1dma1eda-41_8       -515.305286868122 
1fa1dma1eda-31_3       -515.322222509472 
1fa1dma1eda-21_11      -515.292784078497 
1fa1dma1eda-55_7       -515.309274326461 
1fa1dma1eda-67_5       -515.306876774989 
1fa1dma1eda-61_11      -515.303760467353 
1fa1dma1eda-46_2       -515.29785507129  
1fa1dma1eda-36_9       -515.318947964609 
1fa1dma1eda-10_4       -515.31785293963  
1fa1dma1eda-44_10      -515.282689598603 
1fa1dma1eda-29_2       -515.302971123221 
1fa1dma1eda-59_9       -515.305002973708 
1fa1dma1eda-22_6       -515.299554639962 
1fa1dma1eda-5_1        -515.357345995081 
1fa1dma1eda-41_6       -515.306143776173 
1fa1dma1eda-12_10      -515.329451666407 
1fa1dma1eda-2_5        -515.315636196487 
1fa1dma1eda-25_2       -515.312254306447 
1fa1dma1eda-55_9       -515.311955286579 
1fa1dma1eda-37_11      -515.297941223395 
1fa1dma1eda-9_1        -515.355900175086 
1fa1dma1eda-36_7       -515.301576467548 
1fa1dma1eda-60_1       -515.349872300002 
1fa1dma1eda-59_7       -515.29802795208  
1fa1dma1eda-22_8       -515.29806484788  
1fa1dma1eda-52_3       -515.315074939438 
1fa1dma1eda-52_10      -515.30190824121  
