Number of files in database_s1.pkl: 15587
Number of files in database_s2.pkl: 15587
Example output:
info  cluster_type                                                                      1am1dma
      component_ratio                                                                    [1, 1]
1eda1tma-3_4       -364.850525315045 
1eda1tma-4_7       -364.844866519215 
1eda1tma-8_9       -364.839740526305 
1eda1tma-1_10      -364.844088718621 
1eda1tma-7_1       -364.879649062325 
1eda1tma-7_6       -364.853112775017 
1eda1tma-7_8       -364.852304893678 
1eda1tma-2_3       -364.842659077395 
1eda1tma-9_7       -364.840179355394 
1eda1tma-5_11      -364.852096109865 
1eda1tma-5_9       -364.829508964838 
1eda1tma-2_4       -364.84188712134  
1eda1tma-8_11      -364.848724766757 
1eda1tma-9_9       -364.843589925003 
1eda1tma-5_7       -364.834837065325 
1eda1tma-4_6       -364.84703483317  
1eda1tma-8_8       -364.834390224384 
1eda1tma-4_1       -364.877015362347 
1eda1tma-7_10      -364.85328060643  
1eda1tma-8_1       -364.876679462816 
1eda1tma-3_5       -364.848230951335 
1eda1tma-4_8       -364.839447153316 
1eda1tma-8_6       -364.838425827363 
1eda1tma-3_2       -364.84432022068  
1eda1tma-1_4       -364.84026213522  
1eda1tma-6_9       -364.845234685661 
1eda1tma-1_3       -364.83973240958  
1eda1tma-6_7       -364.84447334944  
1eda1tma-3_11      -364.834403302091 
1eda1tma-9_8       -364.844106431054 
1eda1tma-5_6       -364.832184798668 
1eda1tma-8_10      -364.843089134259 
1eda1tma-5_1       -364.878910378943 
1eda1tma-2_5       -364.850951246534 
1eda1tma-9_1       -364.877716635016 
1eda1tma-2_2       -364.847063166972 
1eda1tma-9_6       -364.840277527702 
1eda1tma-5_10      -364.831271069645 
1eda1tma-5_8       -364.833221236505 
1eda1tma-7_9       -364.856157728622 
1eda1tma-7_7       -364.855748546282 
1eda1tma-1_11      -364.841293489843 
1eda1tma-2_11      -364.85210604007  
1eda1tma-5_2       -364.83323444705  
1eda1tma-2_8       -364.846170817356 
1eda1tma-5_5       -364.836799206187 
1eda1tma-2_1       -364.878168748332 
1eda1tma-9_5       -364.855622992742 
1eda1tma-2_6       -364.846499614983 
1eda1tma-9_2       -364.839817954779 
1eda1tma-6_10      -364.851629321978 
1eda1tma-7_3       -364.850017302143 
1eda1tma-7_4       -364.849243532213 
1eda1tma-3_8       -364.853116031583 
1eda1tma-4_2       -364.841513798118 
1eda1tma-4_5       -364.847074959968 
1eda1tma-8_5       -364.846216641276 
1eda1tma-3_1       -364.879494266051 
1eda1tma-8_2       -364.836587149716 
1eda1tma-3_6       -364.853158374466 
1eda1tma-1_7       -364.837028138936 
1eda1tma-4_10      -364.849081040212 
1eda1tma-1_9       -364.831867399111 
1eda1tma-6_3       -364.837899890742 
1eda1tma-6_4       -364.846354851235 
1eda1tma-9_10      -364.844960522249 
1eda1tma-7_5       -364.856159103584 
1eda1tma-7_2       -364.852599069316 
1eda1tma-6_11      -364.848608586563 
1eda1tma-2_7       -364.840279683555 
1eda1tma-9_3       -364.845078006437 
1eda1tma-9_4       -364.849454891379 
1eda1tma-5_4       -364.839546876029 
1eda1tma-2_10      -364.847567965747 
1eda1tma-5_3       -364.836293274641 
1eda1tma-2_9       -364.841383592347 
1eda1tma-6_5       -364.854881568816 
1eda1tma-9_11      -364.847860988366 
1eda1tma-1_8       -364.822597526091 
1eda1tma-6_2       -364.854449288528 
1eda1tma-1_6       -364.84205949627  
1eda1tma-4_11      -364.841624245826 
1eda1tma-1_1       -364.878473952249 
1eda1tma-8_3       -364.845462918499 
1eda1tma-3_7       -364.836720942848 
1eda1tma-8_4       -364.843548102425 
1eda1tma-4_4       -364.851912359909 
1eda1tma-3_9       -364.844559937599 
1eda1tma-4_3       -364.837468673433 
1eda-3             -190.453541289205 
1eda-4             -190.452064148314 
1eda-5             -190.454590198424 
1eda-2             -190.447207065201 
1eda-8             -190.454160476938 
1eda-1             -190.465003330939 
1eda-6             -190.453282093979 
1eda-11            -190.456511084717 
1eda-7             -190.456382828998 
